item_url,title,ingredients,cooking_time,nutrition_facts,publish_dates,timestamp,category
https://www.simplyrecipes.com/garlic-fried-rice-recipe-7965824,Garlic Fried Rice,"['3 to 4 cups cooked long grain white rice, 1 to 2 days old, refrigerated', '1 teaspoon salt, divided', '2 tablespoons vegetable oil', '4 large cloves garlic, minced', '1/4 teaspoon white pepper', '1 thinly sliced green onion or a handful of chives, optional, for garnish']",55 mins,{'N/A': 'N/A'},"['Updated November 04, 2024']",2025-03-22 16:19:25,Side Dishes
https://www.simplyrecipes.com/homemade-cosmic-brownies-recipe-7963866,Homemade Cosmic Brownies,"['Nonstick cooking spray', '1/2 cup (113g) unsalted butter', '1/4 cup (28g) Dutch-process cocoa powder', '2 tablespoons neutral oil, such as canola or vegetable', '5 ounces (142g) bittersweet chocolate, finely chopped', '2/3 cup (145g) granulated sugar', '1/3 cup (72g) packed light brown sugar', '2 large eggs, at room temperature', '1 teaspoon vanilla extract', '1/4 cup (32g) all-purpose flour', '1/2 teaspoon baking powder', '1/2 teaspoon kosher salt', '3 ounces (85g) bittersweet chocolate, finely chopped', 'Pinch kosher salt', '6 tablespoons heavy cream', 'Candy-coated chocolate chip sprinkles, as desired for topping']",50 mins,{'N/A': 'N/A'},"['Updated February 26, 2025']",2025-03-22 16:19:27,Desserts
https://www.simplyrecipes.com/pizza-salad-recipe-7636624,Pizza Salad,"['1/4 cup red wine vinegar', '1 teaspoon tomato paste', '2 teaspoons Dijon mustard', '1/2 teaspoon sugar', '1 1/2 teaspoons dried oregano', '1 teaspoon garlic powder', '1/2 teaspoon kosher salt', '1 teaspoon black pepper', '3/4 cup extra-virgin olive oil', '6 ounces sliced pepperoni slices', '5 ounces mini mozzarella balls (or large balls, quartered)', '2/3 cup sliced black olives', '1 cup sliced red onion', '2 cups chopped bell pepper (yellow, red, green)', '4 packed cups shredded iceberg lettuce', '4 packed cups chopped romaine lettuce', '1/2 cup freshly, finely grated Parmesan cheese', '4 breadsticks']",8 mins,{'N/A': 'N/A'},"['Updated March 07, 2025']",2025-03-22 16:19:28,Dinners
https://www.simplyrecipes.com/banh-mi-salad-recipe-7814195,Banh Mi Salad,"['1/2 cup distilled white vinegar', '1/2 cup water', '1/4 cup granulated sugar', '1/2 teaspoon salt', '2 medium carrots', '1 (6-ounce) piece daikon (no more than 2 inches wide)', '2 tablespoons minced lemongrass', '2 cloves garlic, minced', '1 tablespoon sugar', '1 tablespoon olive oil', '1 tablespoon fish sauce', '1 tablespoon soy sauce', '1/2 teaspoon freshly ground black pepper', '1 1/2 pounds boneless skinless chicken thighs', 'Juice of 1 medium lime (about 2 tablespoons)', '2 tablespoons mayonnaise', '2 tablespoons olive oil', '1 small or 1/2 medium jalapeño pepper, seeded and minced (about 1 tablespoon)', '1 clove garlic, minced', '1/4 teaspoon kosher salt', '2 medium romaine lettuce hearts (about 8 ounces total), chopped or sliced', '2 Persian cucumbers (about 6 ounces total), thinly sliced', '1/2 cup fresh cilantro leaves', 'French baguette, for serving (optional)']",25 mins,{'N/A': 'N/A'},"['Updated January 02, 2024']",2025-03-22 16:19:30,Dinners
https://www.simplyrecipes.com/poultry-seasoning-recipe-7372993,Homemade Poultry Seasoning,"['1 tablespoon rubbed sage', '2 teaspoons dried thyme', '1 teaspoon dried marjoram', '1/2 teaspoon dried crushed rosemary', '1/8 teaspoon ground white pepper (or substitute black pepper)', '1/8 teaspoon ground nutmeg']",5 mins,{'N/A': 'N/A'},"['Updated February 21, 2025']",2025-03-22 16:19:34,Herbs and Spices
https://www.simplyrecipes.com/simple-roast-chicken-recipe-7866976,Easy Roast Chicken,"['1 (3 1/2 to 5-pound) whole chicken', '5 cups roughly chopped vegetables (1 to 1 1/2-inch pieces), such as carrots, onions, potatoes, parsnip, fennel, butternut squash, or turnips', '2 tablespoons olive oil', 'Salt and freshly ground black pepper', '1 small lemon, halved, or 1/2 large lemon', '1/2 yellow or white onion, peeled and cut into 1-inch wedges', '2 sprigs rosemary or 1 small bunch thyme, optional', '3 tablespoons butter, softened (optional)']",40 mins,{'N/A': 'N/A'},"['Updated January 04, 2024']",2025-03-22 16:19:35,Dinners
https://www.simplyrecipes.com/marble-blondies-recipe-7715823,Marble Blondies,"['Nonstick cooking spray, for greasing the pan', '1 cup (226g) unsalted butter, melted and cooled', '1 1/3 cups (270g) packed light brown sugar', '1/3 cup (70g) granulated sugar', '2 large eggs plus 1 large yolk, room temperature, divided', '1 tablespoon vanilla extract', '2 cups (270g) all-purpose flour', '1 1/4 teaspoons kosher salt', '1 teaspoon baking powder', '3 1/2 ounces semi-sweet chocolate, melted and cooled', '2 tablespoons Dutch-process cocoa powder', '1/4 teaspoon espresso powder, optional', '1/2 cup white chocolate chips', '1/2 cup semi-sweet chocolate chips']",50 mins,{'N/A': 'N/A'},"['Updated November 03, 2024']",2025-03-22 16:19:38,Desserts
https://www.simplyrecipes.com/caribbean-green-seasoning-recipe-7963606,Caribbean Green Seasoning,"['1 large onion, roughly chopped', '16 cloves garlic, peeled', '6 Trinidadian pimento peppers or 1 red or green Cubanelle pepper', '8 green onions, trimmed', '4 Guyanese wiri wiri peppers (or 1 Scotch bonnet or 2 to 3 habaneros)', '6 culantro leaves', 'Leaves from 10 sprigs parsley', '16 sprigs thyme', '10 basil leaves']",20 mins,{'N/A': 'N/A'},"['Updated February 11, 2025']",2025-03-22 16:19:39,Herbs and Spices
https://www.simplyrecipes.com/almond-croissant-recipe-7568930,Almond Croissants,"['1/4 cup (50g) granulated sugar', '1/4 cup (60ml) water', '1 tablespoon dark rum, or 1 teaspoon vanilla extract', '1 cup (96g) almond flour', '1 tablespoon all-purpose flour', '1/4 teaspoon kosher salt', '1/2 cup (113g) unsalted butter, at soft room temperature', '1 cup (113g) powdered sugar', '1 large egg', '1/2 teaspoon almond extract', '6 store-bought or leftover croissants', '1/2 cup (43g) sliced almonds', 'Powdered sugar, for dusting']",5 mins,{'N/A': 'N/A'},"['Updated January 02, 2024']",2025-03-22 16:19:41,Desserts
https://www.simplyrecipes.com/yellowhammer-cookies-recipe-alabama-state-cookie-7724658,Yellowhammer Cookies,"['3 1/2 cups all-purpose flour', '2 teaspoons baking soda', '1/4 teaspoon baking powder', '1 teaspoon salt', '2 cups brown sugar (we used light brown sugar)', '1 1/2 cups (3 sticks) butter, melted and slightly cooled', '2 eggs', '2 teaspoons vanilla extract', '4 1/2 cups quick-cooking oats (see recipe note)', '24 pecan halves', '1 cup creamy peanut butter (do not use natural peanut butter)', '2 tablespoons honey', '1/2 cup (1 stick) butter, softened', '1 to 1 1/2 cups powdered sugar']",24 mins,{'N/A': 'N/A'},"['Updated January 04, 2024']",2025-03-22 16:19:42,Cookies
https://www.simplyrecipes.com/garam-masala-recipe-7644066,Garam Masala,"['2 tablespoons plus 1 teaspoon (15g) coriander seeds', '4 teaspoons (10g) cumin seeds', '2 teaspoons (6g) green cardamom pods', '3/4 teaspoon whole cloves (1g)', '1 teaspoon black peppercorns (3g)', '1/2 stick (2.9g) Ceylon cinnamon', '1/2 (0.3g) Tej patta (Indian bay leaf), crushed into 1/2-inch pieces (optional)']",6 mins,{'N/A': 'N/A'},"['Updated March 10, 2025']",2025-03-22 16:19:44,Meal Prep
https://www.simplyrecipes.com/maduros-recipe-fried-sweet-plantains-7567877,Maduros (Fried Sweet Plantains),"['2 sweet plantains, very ripe', '1 cup neutral oil, for frying']",50 mins,{'N/A': 'N/A'},"['Updated March 03, 2025']",2025-03-22 16:19:45,Side Dishes
https://www.simplyrecipes.com/flapjacks-recipe-7558393,British Flapjacks,"['2 1/2 cups (250g) quick-cook rolled oats', '1/2 cup (75g) mixed seeds', '1/2 cup (75g) dried fruit', '1/2 teaspoon kosher salt', '1/2 teaspoon cinnamon', '1/2 cup (113g) unsalted butter', '1/2 cup (107g) brown sugar', '1/3 cup (112g) golden syrup']",50 mins,{'N/A': 'N/A'},"['Updated January 26, 2025']",2025-03-22 16:19:46,Snacks and Appetizers
https://www.simplyrecipes.com/kitchen-sink-cookies-recipe-7567259,Kitchen Sink Cookies,"['2 1/2 cups (338g) all-purpose flour', '1 3/4 teaspoons baking soda', '1 1/4 teaspoons kosher salt', '1/2 teaspoon baking powder', '1 cup (226g) unsalted butter, melted and cooled', '3/4 cup (164g) firmly packed light brown sugar', '1/4 cup (50g) granulated sugar', '1 3/4 teaspoons vanilla extract', '2 large eggs, at room temperature', '1 1/3 cups (8 ounces) chocolatey mix-ins, such as semi-sweet chocolate chips or chunks', '1 1/3 cups (3 ounces) salty mix-ins, such as ridged, salted potato chips or pretzels', '1/2 cup (2 1/2 ounces) nutty mix-ins, such as chopped, roasted peanuts', '1/4 cup (2 ounces) chewy/sticky mix-ins, such as toffee bits']",29 mins,{'N/A': 'N/A'},"['Updated February 21, 2025']",2025-03-22 16:19:47,Desserts
https://www.simplyrecipes.com/vegan-pizza-recipe-with-easy-homemade-mozzarella-7568126,Vegan Pizza,"['2 pounds pizza dough, homemade or store-bought', 'Olive oil, for greasing the pizza dough and baking sheet', 'Flour, for dusting the counter', 'Cornmeal, for dusting the pan or pizza peel', '3/4 to 1 cup pizza sauce, homemade or jarred (check to see it’s vegan)', '1 batch homemade vegan mozzarella (see below), or 7 to 8 ounces vegan mozzarella-style shreds', 'Optional toppings: fresh basil, vegan pepperoni or cooked vegan sausage, mushrooms', '5 tablespoons tapioca flour', '2 tablespoons nutritional yeast', '1/2 teaspoon sugar', '1/2 teaspoon salt', '1 1/2 cups water', '6 tablespoons oil', '2 teaspoons apple cider vinegar']",30 mins,{'N/A': 'N/A'},"['Updated January 02, 2024']",2025-03-22 16:19:48,Dinners
https://www.simplyrecipes.com/diy-macaroni-and-cheese-mix-recipe-7568651,Homemade Macaroni and Cheese Mix,"['1 1/2 cups (6 ounces/170g) dry macaroni, shells, or other smaller pasta shape', '3 tablespoons (20g) cheddar cheese powder, orange or white', '1/2 teaspoon tapioca starch, optional', '1/4 teaspoon salt', '3 tablespoons milk, any kind', '1 to 2 tablespoons butter (if using salted, reduce the salt a bit)']",85 mins,{'N/A': 'N/A'},"['Updated February 20, 2025']",2025-03-22 16:19:49,Dinners
https://www.simplyrecipes.com/one-pot-taco-pasta-recipe-7568232,One-Pot Taco Pasta,"['1 tablespoon olive oil', '1 white onion, chopped', '1 red bell pepper, chopped', '1 pound lean ground beef (12 ounces if using Impossible Meat)', '2 tablespoons homemade taco seasoning or 1 (1-ounce) packet taco seasoning', '1 teaspoon smoked or sweet paprika', '1 teaspoon ground cumin', '1 (14.5-ounce) can diced tomatoes', '1 (4-ounce) can chopped green chilis', '8 ounces elbow pasta', '2 cups beef or vegetable broth', '1 cup shredded cheddar cheese', '1/4 cup fresh cilantro, chopped', '2 tablespoons fresh lime juice (about 1 lime)', '1 tablespoon hot sauce, optional', 'Salt, as needed', 'Green onions, chopped', 'Sour cream', 'Lime wedges']",30 mins,{'N/A': 'N/A'},"['Updated January 29, 2025']",2025-03-22 16:19:52,Dinners
https://www.simplyrecipes.com/buffalo-chicken-tacos-recipe-7567648,Quick and Easy Buffalo Chicken Tacos,"['6 tablespoons (3/4 stick) unsalted butter', '1/2 cup hot sauce, such as Franks RedHot or Cholula', '1/2 teaspoon garlic powder', '1 small or 1/2 large plain rotisserie chicken (about 1 3/4 pounds), shredded (about 4 packed cups)', '3 tablespoons whole milk plain Greek yogurt or sour cream', '2 tablespoons freshly squeezed lime juice (about 1 medium lime)', '1 tablespoon olive oil', '1/2 teaspoon kosher salt', '1/4 teaspoon freshly ground black pepper', '4 packed cups (10 ounces) coleslaw mix', '12 (6-inch) flour tortillas', '2 green onions, thinly sliced', '4 ounces blue cheese, crumbled (about 1 cup)']",70 mins,{'N/A': 'N/A'},"['Updated March 03, 2025']",2025-03-22 16:19:53,Dinners
https://www.simplyrecipes.com/million-dollar-pie-recipe-7567197,Million Dollar Pie,"['12 whole graham crackers (180g)', '2 tablespoons granulated sugar', '1/2 teaspoon ground cinnamon', '1/4 teaspoon kosher salt', '8 tablespoons (113g) unsalted butter, melted', '1 cup (113g) chopped pecans', '1 cup (85g) sweetened desiccated coconut', '1 (20-ounce) can crushed pineapple', '1 (14-ounce) can sweetened condensed milk', '3 tablespoons lemon juice', '4 ounces cream cheese, softened', '3 tablespoons powdered sugar', '2 cups (480ml) heavy cream', '8 to 10 maraschino cherries, optional']",55 mins,{'N/A': 'N/A'},"['Updated February 07, 2024']",2025-03-22 16:19:55,Desserts
https://www.simplyrecipes.com/arrachera-recipe-mexican-skirt-steak-7567800,Arrachera (Mexican Skirt Steak),"['4 green onions, trimmed, white and green parts roughly chopped', '4 cloves garlic, peeled', '1/4 cup cilantro leaves', '1 serrano pepper, stem and seeds removed', '3/4 cup pineapple juice', '1/2 cup blonde Mexican lager (like Corona or Modelo)', '1/3 cup lime juice (from 3 to 4 limes)', '1 tablespoon neutral cooking oil (like vegetable or avocado)', '1 tablespoon Diamond Crystal kosher salt or 1 1/2 teaspoons fine sea salt', '2 pounds skirt steak']",30 mins,{'N/A': 'N/A'},"['Updated February 07, 2024']",2025-03-22 16:19:56,Dinners
https://www.simplyrecipes.com/halal-cart-chicken-over-rice-recipe-7566689,Chicken Over Rice,"['3 tablespoons freshly squeezed lemon juice, from about 1 lemon', '1/4 cup neutral oil, such as canola oil or grapeseed oil, plus more for cooking', '2 tablespoons freshly grated garlic', '2 teaspoons Diamond-Crystal Kosher Salt (or 1 teaspoon Morton Kosher Salt or fine sea salt)', '1 tablespoon dried oregano', '1 1/2 teaspoons coriander powder', '1/2 teaspoon allspice', '1 1/2 teaspoons cumin powder', '1 1/2 teaspoons black pepper', '2 pounds boneless, skinless chicken thighs', '1/3 cup plain Greek yogurt', '1/2 cup mayonnaise', '1 tablespoon lemon juice', '1 clove garlic, grated', '3/4 teaspoon black pepper', '1 to 3 tablespoons water', 'Salt, to taste', '1 teaspoon granulated sugar, optional', '2 tablespoons unsalted butter', '4 whole green cardamom pods', '2 shallots, diced', '1/2 teaspoon ground turmeric', '2 cups long-grain basmati rice, preferably aged', '3 cups chicken stock', '2 teaspoons Diamond-Crystal Kosher Salt (or 1 teaspoon Morton Kosher Salt or fine sea salt)', 'Diced tomato', 'Shredded lettuce', 'Hot sauce, such as harissa or Sriracha', 'Warm pita']",55 mins,{'N/A': 'N/A'},"['Updated March 02, 2025']",2025-03-22 16:19:58,Dinners
https://www.simplyrecipes.com/zucchini-butter-recipe-7567749,Easy Zucchini Butter,"['2 to 4 tablespoons extra-virgin olive oil, divided', '2 1/2 pounds (3 medium-large) zucchini', '3 cloves garlic, smashed and peeled', '3 to 6 sprigs fresh thyme', 'Salt, to taste', 'Freshly ground black pepper', 'About 1 teaspoon fresh lemon juice']",25 mins,{'N/A': 'N/A'},"['Updated November 04, 2024']",2025-03-22 16:20:00,Snacks and Appetizers
https://www.simplyrecipes.com/sad-cake-recipe-7565501,Sad Cake,"['Butter or cooking spray, for greasing the pan', '4 eggs', '2 1/4 cups packed brown sugar (light or dark)', '2 teaspoons vanilla extract', '1/2 teaspoon salt', '2 cups Bisquick or other baking mix', '1 cup sweetened shredded coconut']",75 mins,{'N/A': 'N/A'},"['Updated April 12, 2024']",2025-03-22 16:20:01,Desserts
https://www.simplyrecipes.com/jerk-seasoning-dry-jamaican-jerk-rub-7564928,Jamaican Jerk Seasoning,"['2 tablespoons (12g) ground allspice', '2 teaspoons (5g) ground cloves', '2 teaspoons (5g) ground cinnamon, or a 5-inch cinnamon stick', '2 teaspoons (5g) ground black pepper', '1 teaspoon (3g) ground ginger', '1 teaspoon (3g) ground nutmeg', '1 teaspoon (3g) paprika', '1 tablespoon (6g) dried, ground Scotch bonnet', '1 tablespoon (9g) onion powder', '1 tablespoon (9g) garlic powder', '1 tablespoon (16g) salt', '2 tablespoons (25g) cane sugar', '2 tablespoons (7g) dried thyme']",5 mins,{'N/A': 'N/A'},"['Updated February 07, 2024']",2025-03-22 16:20:03,Herbs and Spices
https://www.simplyrecipes.com/2-ingredient-ice-cream-sandwiches-recipe-7565390,2-Ingredient Ice Cream Sandwiches,"['16 Oreo sandwich cookies (plus extras as needed if any cookies break)', '1 pint premium ice cream (see recipe note), straight from the freezer']",68 mins,{'N/A': 'N/A'},"['Updated February 07, 2024']",2025-03-22 16:20:05,Desserts
https://www.simplyrecipes.com/air-fryer-zucchini-recipe-7562211,Air Fryer Zucchini Chips,"['2 medium zucchini (about 1 pound total)', '1/2 teaspoon kosher salt, plus a pinch for salting the zucchini', '1/3 cup plain fine breadcrumbs', '3 tablespoons freshly grated Parmesan, plus more for serving', '2 teaspoons cornstarch', '1 teaspoon granulated garlic or 1/2 teaspoon garlic powder, optional', '1/4 teaspoon freshly ground black pepper', '1 pinch cayenne, optional', '1 tablespoon olive oil', 'Cooking spray']",23 mins,{'N/A': 'N/A'},"['Updated October 04, 2023']",2025-03-22 16:20:06,Side Dishes
https://www.simplyrecipes.com/goetta-recipe-7506032,Goetta Recipe (Cincinnati Breakfast Classic),"['4 cups water', '2 1/2 cups pinhead or steel-cut oats (see recipe note)', '2 teaspoons (10g) salt, divided', '1 pound ground pork', '1 pound ground beef (80/20 is good)', '2 teaspoons poultry seasoning (see recipe note)', '2 teaspoons onion powder', '2 teaspoons garlic powder', '1 teaspoon freshly ground white pepper (or substitute black pepper; I like a 50/50 blend of white and black)', '1/4 teaspoon cayenne pepper', '1/4 teaspoon ground nutmeg', '4 cups low-sodium beef stock', '2 bay leaves']",35 mins,{'N/A': 'N/A'},"['Updated February 13, 2025']",2025-03-22 16:20:08,Breakfast
https://www.simplyrecipes.com/peach-pie-bars-recipe-7560931,Peach Crumb Bars,"['1 3/4 cups (230g) all-purpose flour', '3/4 cup (150g) granulated sugar', '1/2 teaspoon kosher salt', '1/4 teaspoon ground cinnamon', '1 1/2 sticks (12 tablespoons) cold unsalted butter, cubed, plus more for the pan', '2 teaspoons vanilla extract', '1 large egg', '1/4 cup sour cream', '1/2 cup (100g) granulated sugar', '1 tablespoon all-purpose flour', '2 teaspoons vanilla extract', '1/4 teaspoon ground cinnamon', '1/4 teaspoon kosher salt', '3 medium peaches (about 1 pound), pitted and sliced thinly']",70 mins,{'N/A': 'N/A'},"['Updated February 21, 2025']",2025-03-22 16:20:10,Desserts
https://www.simplyrecipes.com/easy-meatloaf-recipe-7551214,Easy Meatloaf,"['2 pounds ground chuck (80/20)', '2 large eggs', '1/2 cup dry breadcrumbs', '1 tablespoon yellow mustard', '1 tablespoon Worcestershire sauce', '1 tablespoon ketchup', '2 teaspoons onion powder', '1 teaspoon garlic powder', '1 teaspoon salt', '1/2 teaspoon ground black pepper', '1 cup milk', '1/2 cup ketchup']",50 mins,{'N/A': 'N/A'},"['Updated January 26, 2025']",2025-03-22 16:20:11,Dinners
